"","1993-11-04","","","1993-11-04","","","","","","",""
"result.125",-0.00289582517921705,0.0335515517325646,0,3.64473769117777e-06,0.0148809751169579,0,1.7776800296173e-06,0.0260078768015893,0,2.89037019808031e-06,125
"result.126",-0.000752953191904382,0.0331569888138361,0,3.39099420057368e-06,0.0148809751169579,0,1.56339283088606e-06,0.0257372118557671,0,2.64901650476686e-06,126
"result.127",-0.00791818628285323,0.0327542375905878,0,4.06724238734366e-06,0.0148809751169579,0,2.27991613998086e-06,0.0253666217251336,0,3.32848080079832e-06,127
"result.128",-0.012357763739149,0.032400733301607,0,4.4758497040751e-06,0.0148809751169579,0,2.72387388561039e-06,0.0254661661456119,0,3.78239298847568e-06,128
"result.129",0.00830777785906722,0.0325350060539122,0,2.42272281948424e-06,0.0148809751169579,0,6.57319725788995e-07,0.0261218322240891,0,1.78140543650199e-06,129
"result.130",-0.0101860486340879,0.0334389564423745,0,4.36250050764576e-06,0.0148809751169579,0,2.5067023751043e-06,0.0263383297594328,0,3.65243783935166e-06,130
"result.131",0.0051059937093223,0.0337117707215313,0,2.86057770122059e-06,0.0148809751169579,0,9.77498140763452e-07,0.0267777618214077,0,2.1671768112083e-06,131
"result.132",0.00087852102962227,0.0341739773233272,0,3.32954562937012e-06,0.0148809751169579,0,1.40024540873341e-06,0.0266644967394499,0,2.57859757098248e-06,132
"result.133",0.000787673196099625,0.0338805806693117,0,3.30929074732084e-06,0.0148809751169579,0,1.40933019208567e-06,0.0262751377080018,0,2.54874645118993e-06,133
"result.134",0.0109190557067009,0.0333741275138593,0,2.24550718071559e-06,0.0148809751169579,0,3.96191941025653e-07,0.0258670918412648,0,1.49480361345622e-06,134
"result.135",0.00956755911700657,0.0331797332878025,0,2.36121741707934e-06,0.0148809751169579,0,5.31341599995074e-07,0.0264517222522618,0,1.68841631352534e-06,135
"result.136",0.00613076172357552,0.0337324286959486,0,2.76016669723701e-06,0.0148809751169579,0,8.75021339338142e-07,0.0267182733773841,0,2.05875116538063e-06,136
"result.137",-0.00342330366993426,0.0339873794471188,0,3.7410683117049e-06,0.0148809751169579,0,1.83042787868901e-06,0.0265878347251012,0,3.00111383950322e-06,137
"result.138",-0.00378805226046897,0.0337723936800316,0,3.75604459404964e-06,0.0148809751169579,0,1.86690273774248e-06,0.0262574761515228,0,3.00455284119885e-06,138
"result.139",0.00354618929188266,0.0334921361247851,0,2.99459468328991e-06,0.0148809751169579,0,1.1334785825074e-06,0.0260460666926844,0,2.24998774007992e-06,139
"result.140",0.00335839202791988,0.0332134778657931,0,2.98550858378699e-06,0.0148809751169579,0,1.15225830890368e-06,0.0258103307232138,0,2.24519386952914e-06,140
